"playerID","feature_batting_average","feature_rbi","feature_homeruns","feature_stolen_bases","feature_runs_scored","feature_ERA","feature_saves","feature_strikeouts","feature_wins","feature_WHIP","feature_putouts","feature_assists","feature_doubleplays","feature_allstar_appearences","feature_awards","feature_salary","classification"
"jacksso01","0.2511","162","7","126","396",\N,\N,\N,\N,\N,"1392","1820","282",\N,\N,\N,"N"
"jonescl01","0.2806","524","93","91","565",\N,\N,\N,\N,\N,"2280","83","22","0","1",\N,"N"
"linzyfr01","0.1488","3","1","0","5","3.264166682958603","111","358","62","1.3127","51","236","17",\N,\N,\N,"N"
"lolicmi01","0.1096","31","0","1","63","3.429999992251396","11","2832","217","1.2272","100","448","16","0","2",\N,"N"
"mclaide01","0.1331","31","1","1","32","4.0790909420360215","2","1282","131","1.1633","154","212","15","0","8",\N,"N"
"morgajo02","0.2713","1133","268","689","1650",\N,\N,\N,\N,\N,"5758","6969","1505","0","17",\N,"Y"
"murreiv01","0.2358","123","33","20","126",\N,\N,\N,\N,\N,"921","42","33",\N,\N,\N,"N"
"petrori01","0.2508","773","210","10","653",\N,\N,\N,\N,\N,"1886","3750","589","0","1",\N,"N"
"stewaji01","0.2366","112","8","38","164",\N,\N,\N,\N,\N,"628","541","114",\N,\N,\N,"N"
"wynnji01","0.2503","964","291","225","1105",\N,\N,\N,\N,\N,"3937","167","42","0","2",\N,"N"
"akerja01","0.0761","4","0","0","3","3.854285682950701","123","404","47","1.2775","65","167","20",\N,"1",\N,"N"
